,Chart_Date,value,key
,1/1/2020,0.318,q1_val
,1/2/2020,0.28925,q1_val
,1/3/2020,0.274,q1_val
,1/4/2020,0.28925,q1_val
,1/5/2020,0.294,q1_val
,1/6/2020,0.28925,q1_val
,1/7/2020,0.28925,q1_val
,1/8/2020,0.29575,q1_val
,1/9/2020,0.29575,q1_val
,1/10/2020,0.29175,q1_val
,1/11/2020,0.295,q1_val
,1/12/2020,0.30575,q1_val
,1/13/2020,0.30975,q1_val
,1/14/2020,0.30575,q1_val
,1/15/2020,0.30575,q1_val
,1/16/2020,0.30575,q1_val
,1/17/2020,0.28925,q1_val
,1/18/2020,0.28925,q1_val
,1/19/2020,0.28925,q1_val
,1/20/2020,0.30575,q1_val
,1/21/2020,0.28925,q1_val
,1/22/2020,0.28925,q1_val
,1/23/2020,0.30575,q1_val
,1/24/2020,0.30575,q1_val
,1/25/2020,0.28925,q1_val
,1/26/2020,0.2735,q1_val
,1/27/2020,0.274,q1_val
,1/28/2020,0.274,q1_val
,1/29/2020,0.28925,q1_val
,1/30/2020,0.30575,q1_val
,1/31/2020,0.29075,q1_val
,2/1/2020,0.2885,q1_val
,2/2/2020,0.30575,q1_val
,2/3/2020,0.32,q1_val
,2/4/2020,0.30575,q1_val
,2/5/2020,0.31575,q1_val
,2/6/2020,0.31125,q1_val
,2/7/2020,0.32,q1_val
,2/8/2020,0.29475,q1_val
,2/9/2020,0.2885,q1_val
,2/10/2020,0.2885,q1_val
,2/11/2020,0.29075,q1_val
,2/12/2020,0.29075,q1_val
,2/13/2020,0.29075,q1_val
,2/14/2020,0.321,q1_val
,2/15/2020,0.32075,q1_val
,2/16/2020,0.318,q1_val
,2/17/2020,0.318,q1_val
,2/18/2020,0.321,q1_val
,2/19/2020,0.3085,q1_val
,2/20/2020,0.321,q1_val
,2/21/2020,0.3085,q1_val
,2/22/2020,0.3085,q1_val
,2/23/2020,0.30425,q1_val
,2/24/2020,0.3085,q1_val
,2/25/2020,0.318,q1_val
,2/26/2020,0.3085,q1_val
,2/27/2020,0.3225,q1_val
,2/28/2020,0.3085,q1_val
,2/29/2020,0.3045,q1_val
,3/1/2020,0.3085,q1_val
,3/2/2020,0.309,q1_val
,3/3/2020,0.318,q1_val
,3/4/2020,0.32325,q1_val
,3/5/2020,0.32325,q1_val
,3/6/2020,0.30525,q1_val
,3/7/2020,0.32325,q1_val
,3/8/2020,0.32625,q1_val
,3/9/2020,0.321,q1_val
,3/10/2020,0.32325,q1_val
,3/11/2020,0.324,q1_val
,3/12/2020,0.324,q1_val
,3/13/2020,0.321,q1_val
,3/14/2020,0.321,q1_val
,3/15/2020,0.31775,q1_val
,3/16/2020,0.3205,q1_val
,3/17/2020,0.3205,q1_val
,3/18/2020,0.3205,q1_val
,3/19/2020,0.3205,q1_val
,3/20/2020,0.30675,q1_val
,3/21/2020,0.30525,q1_val
,3/22/2020,0.2755,q1_val
,3/23/2020,0.27375,q1_val
,3/24/2020,0.27775,q1_val
,3/25/2020,0.277,q1_val
,3/26/2020,0.277,q1_val
,3/27/2020,0.303,q1_val
,3/28/2020,0.28925,q1_val
,3/29/2020,0.28925,q1_val
,3/30/2020,0.2825,q1_val
,3/31/2020,0.2825,q1_val
,4/1/2020,0.28925,q1_val
,4/2/2020,0.3165,q1_val
,4/3/2020,0.3165,q1_val
,4/4/2020,0.30875,q1_val
,4/5/2020,0.3165,q1_val
,4/6/2020,0.3045,q1_val
,4/7/2020,0.3045,q1_val
,4/8/2020,0.3205,q1_val
,4/9/2020,0.3165,q1_val
,4/10/2020,0.3205,q1_val
,4/11/2020,0.329,q1_val
,4/12/2020,0.3255,q1_val
,4/13/2020,0.3205,q1_val
,4/14/2020,0.324,q1_val
,4/15/2020,0.3285,q1_val
,4/16/2020,0.32675,q1_val
,4/17/2020,0.3405,q1_val
,4/18/2020,0.3405,q1_val
,4/19/2020,0.333,q1_val
,4/20/2020,0.32625,q1_val
,4/21/2020,0.32625,q1_val
,4/22/2020,0.32325,q1_val
,4/23/2020,0.3255,q1_val
,4/24/2020,0.32325,q1_val
,4/25/2020,0.318,q1_val
,4/26/2020,0.318,q1_val
,4/27/2020,0.303,q1_val
,4/28/2020,0.30825,q1_val
,4/29/2020,0.318,q1_val
,4/30/2020,0.318,q1_val
,5/1/2020,0.31425,q1_val
,5/2/2020,0.3285,q1_val
,5/3/2020,0.3285,q1_val
,5/4/2020,0.32975,q1_val
,5/5/2020,0.329,q1_val
,5/6/2020,0.329,q1_val
,5/7/2020,0.32975,q1_val
,5/8/2020,0.329,q1_val
,5/9/2020,0.333,q1_val
,5/10/2020,0.341,q1_val
,5/11/2020,0.32975,q1_val
,5/12/2020,0.32975,q1_val
,5/13/2020,0.33925,q1_val
,5/14/2020,0.32975,q1_val
,5/15/2020,0.28925,q1_val
,5/16/2020,0.30775,q1_val
,5/17/2020,0.318,q1_val
,5/18/2020,0.3075,q1_val
,5/19/2020,0.3235,q1_val
,5/20/2020,0.3235,q1_val
,5/21/2020,0.32675,q1_val
,5/22/2020,0.3045,q1_val
,5/23/2020,0.32175,q1_val
,5/24/2020,0.32575,q1_val
,5/25/2020,0.32975,q1_val
,5/26/2020,0.32575,q1_val
,5/27/2020,0.3285,q1_val
,5/28/2020,0.329,q1_val
,5/29/2020,0.326,q1_val
,5/30/2020,0.326,q1_val
,5/31/2020,0.3285,q1_val
,6/1/2020,0.3285,q1_val
,6/2/2020,0.33925,q1_val
,6/3/2020,0.333,q1_val
,6/4/2020,0.333,q1_val
,6/5/2020,0.34625,q1_val
,6/6/2020,0.34975,q1_val
,6/7/2020,0.34875,q1_val
,6/8/2020,0.33475,q1_val
,6/9/2020,0.3395,q1_val
,6/10/2020,0.33475,q1_val
,6/11/2020,0.33475,q1_val
,6/12/2020,0.33925,q1_val
,6/13/2020,0.34975,q1_val
,6/14/2020,0.34875,q1_val
,6/15/2020,0.33925,q1_val
,6/16/2020,0.334,q1_val
,6/17/2020,0.33925,q1_val
,6/18/2020,0.334,q1_val
,6/19/2020,0.33925,q1_val
,6/20/2020,0.35,q1_val
,6/21/2020,0.34875,q1_val
,6/22/2020,0.33925,q1_val
,6/23/2020,0.333,q1_val
,6/24/2020,0.333,q1_val
,6/25/2020,0.34625,q1_val
,6/26/2020,0.333,q1_val
,6/27/2020,0.35075,q1_val
,6/28/2020,0.34975,q1_val
,6/29/2020,0.33925,q1_val
,6/30/2020,0.333,q1_val
,7/1/2020,0.34625,q1_val
,7/2/2020,0.34975,q1_val
,7/3/2020,0.34975,q1_val
,7/4/2020,0.3835,q1_val
,7/5/2020,0.37175,q1_val
,7/6/2020,0.35,q1_val
,7/7/2020,0.366,q1_val
,7/8/2020,0.35,q1_val
,7/9/2020,0.35,q1_val
